,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
2690,Meneses,Joey,608841,menej001,menesjo01,14366,2022.0,2024.0
2704,Criswell,Jeff,676105,crisj001,criswje01,-1,2024.0,2024.0
2715,Jefferies,Daulton,641726,jeffd001,jeffeda01,19345,2020.0,2024.0
2721,Wiles,Collin,621079,wilec001,wilesco01,15106,2022.0,2022.0
2722,Caratini,Víctor,605170,carav001,caratvi01,14968,2017.0,2024.0
2749,Canzone,Dominic,686527,canzd001,canzodo01,26438,2023.0,2024.0
2773,Criswell,Cooper,681867,crisc002,criswco01,24975,2021.0,2024.0
2779,Lorenzen,Michael,547179,lorem002,lorenmi01,14843,2015.0,2024.0
2782,Lukes,Nathan,664770,luken001,lukesna01,18123,2023.0,2024.0
2794,Díaz,Yusniel,666783,diazy003,diazyu01,18905,2022.0,2022.0
2801,Contreras,Willson,575929,contw001,contrwi01,11609,2016.0,2024.0
2806,Miller,Mason,695243,millm004,millema03,31757,2023.0,2024.0
2807,Carrasco,Carlos,471911,carrc003,carraca01,6632,2009.0,2024.0
2820,Naile,James,664942,nailj001,naileja01,18186,2022.0,2023.0
2828,Vodnik,Victor,680767,vodnv001,vodnivi01,24614,2023.0,2024.0
2835,Hopkins,TJ,686759,hopkt001,hopkitj01,25482,2023.0,2023.0
2854,Kremer,Dean,665152,kremd001,kremede01,19350,2020.0,2024.0
2881,Madris,Bligh,676632,madrb002,madribl01,20054,2022.0,2024.0
2887,Alexander,Blaze,677942,alexb001,alexabl01,23789,2024.0,2024.0
2891,Miller,Brad,543543,millb002,millebr02,12775,2013.0,2023.0
2896,Alvarado,José,621237,alvaj004,alvarjo03,17780,2017.0,2024.0
2899,Devers,José,672701,devej001,deverjo01,20540,2021.0,2024.0
2901,Fisher,Nate,688010,fishn001,fishena01,25512,2022.0,2022.0
2902,Silseth,Chase,681217,silsc001,silsech01,30074,2022.0,2024.0
2909,Pannone,Thomas,623381,pannt001,pannoth01,17281,2018.0,2023.0
2918,Minter,A. J.,621345,minta001,minteaj01,18655,2017.0,2024.0
2920,Vines,Darius,670241,vined001,vinesda01,25928,2023.0,2024.0
2926,López,Pablo,641154,lopep002,lopezpa01,17085,2018.0,2024.0
2937,Webb,Jacob,657097,webbj002,webbja01,19274,2019.0,2024.0
2938,Bryant,Kris,592178,bryak001,bryankr01,15429,2015.0,2024.0
2942,Plummer,Nick,663911,plumn001,plummni01,18690,2022.0,2022.0
